name,kcal,fat,sugar,sodium
ข้าวมันไก่,600,25,5,700
ข้าวผัดกะเพรา,580,22,4,850
ข้าวขาหมู,690,40,8,900
ผัดไทยกุ้งสด,750,30,15,1100
สลัดอกไก่,320,10,3,400
แกงเขียวหวานไก่,450,28,7,650
ต้มยำกุ้ง,350,18,6,950
ข้าวไข่เจียว,400,20,2,500
ส้มตำไทย,120,2,10,700
ลาบหมู,250,15,3,600
ข้าวผัดหมู,550,20,5,750
ก๋วยเตี๋ยวเรือ,420,12,8,1200
ข้าวซอยไก่,560,30,9,800
โจ๊กหมู,250,8,2,600
ปลากะพงทอดน้ำปลา,480,30,7,900
แกงจืดเต้าหู้หมูสับ,220,10,3,550
ยำวุ้นเส้น,180,5,8,750
บะหมี่หยกเป็ดย่าง,520,3,8,800
ข้าวหน้าปลาแกะ,480,2,5,450
ข้าวไก่อบสมุนไพร,500,3,9,300
สปาเก็ตตี้ผัดพริกแห้งอกไก่,580,2,14,250

